image_filename,magnetism_mT,ldc_rp,delta_rp,target_material,is_coated,is_dilapidated,is_degraded
data_1_1.jpg,-0.0001,61167,-456,Aluminum,0,1,0
data_1_2.jpg,0.0004,60930,-693,Aluminum,0,1,0
data_1_3.jpg,0.0001,61584,-39,Aluminum,0,1,0
data_1_4.jpg,-0.0003,61082,-541,Aluminum,0,1,0
data_1_5.jpg,-0.0004,59903,-1720,Aluminum,0,1,0
data_1_6.jpg,0.0001,61512,-111,Aluminum,0,1,0
data_1_7.jpg,-0.0003,60791,-832,Aluminum,0,1,0
data_1_8.jpg,0.0007,60895,-728,Aluminum,0,1,0
data_1_9.jpg,0.0007,61385,-238,Aluminum,0,1,0
data_1_10.jpg,-0.0001,61556,-67,Aluminum,0,1,0
data_1_11.jpg,-0.0002,60792,-831,Aluminum,0,1,0
data_1_12.jpg,0.0003,60635,-988,Aluminum,0,1,0
data_1_13.jpg,0.0,61518,-105,Aluminum,0,1,0
data_1_14.jpg,-0.0006,61610,-13,Aluminum,0,1,0
data_1_15.jpg,-0.0009,61552,-71,Aluminum,0,1,0
data_1_16.jpg,-0.0005,60653,-970,Aluminum,0,1,0
data_1_17.jpg,0.0004,59783,-1840,Aluminum,0,1,0
data_1_18.jpg,0.0,60466,-1157,Aluminum,0,1,0
data_1_19.jpg,0.0002,60948,-675,Aluminum,0,1,0
data_1_20.jpg,0.0003,61530,-93,Aluminum,0,1,0
data_2_1.jpg,-0.0001,60173,-1450,Aluminum,0,1,0
data_2_2.jpg,0.0001,60631,-992,Aluminum,0,1,0
data_2_3.jpg,0.0004,60929,-694,Aluminum,0,1,0
data_2_4.jpg,-0.0001,61380,-243,Aluminum,0,1,0
data_2_5.jpg,-0.0023,61135,-488,Aluminum,0,1,0
data_2_6.jpg,-0.0002,61328,-295,Aluminum,0,1,0
data_2_7.jpg,0.0002,61312,-311,Aluminum,0,1,0
data_2_8.jpg,0.0011,61024,-599,Aluminum,0,1,0
data_2_9.jpg,0.0014,60845,-778,Aluminum,0,1,0
data_2_10.jpg,-0.0004,59886,-1737,Aluminum,0,1,0
data_2_11.jpg,0.0009,59448,-2175,Aluminum,0,1,0
data_2_12.jpg,0.0007,59974,-1649,Aluminum,0,1,0
data_2_13.jpg,0.0011,59997,-1626,Aluminum,0,1,0
data_2_14.jpg,0.0009,61107,-516,Aluminum,0,1,0
data_2_15.jpg,0.0012,60931,-692,Aluminum,0,1,0
data_2_16.jpg,0.0008,61143,-480,Aluminum,0,1,0
data_2_17.jpg,0.0002,61415,-208,Aluminum,0,1,0
data_2_18.jpg,0.0007,61400,-223,Aluminum,0,1,0
data_2_19.jpg,-0.0004,61448,-96,Aluminum,0,1,0
data_2_20.jpg,0.0003,60925,-619,Aluminum,0,1,0
data_3_1.jpg,-0.0006,61268,-269,Aluminum,0,1,0
data_3_2.jpg,0.0004,60648,-889,Aluminum,0,1,0
data_3_3.jpg,0.0006,59778,-1759,Aluminum,0,1,0
data_3_4.jpg,0.0011,61511,-26,Aluminum,0,1,0
data_3_5.jpg,0.0011,61011,-526,Aluminum,0,1,0
data_3_6.jpg,0.001,60410,-1127,Aluminum,0,1,0
data_3_7.jpg,-0.0002,59678,-1859,Aluminum,0,1,0
data_3_8.jpg,0.0011,59743,-1794,Aluminum,0,1,0
data_3_9.jpg,0.0002,61331,-206,Aluminum,0,1,0
data_3_10.jpg,0.0008,61229,-308,Aluminum,0,1,0
data_3_11.jpg,0.0016,59903,-1634,Aluminum,0,1,0
data_3_12.jpg,0.0,60251,-1286,Aluminum,0,1,0
data_3_13.jpg,0.0006,60615,-922,Aluminum,0,1,0
data_3_14.jpg,0.0002,59543,-1994,Aluminum,0,1,0
data_3_15.jpg,0.0015,60629,-908,Aluminum,0,1,0
data_3_16.jpg,0.0006,61581,44,Aluminum,0,1,0
data_3_17.jpg,0.001,61112,-425,Aluminum,0,1,0
data_3_18.jpg,0.0008,60922,-615,Aluminum,0,1,0
data_3_19.jpg,0.0014,60910,-627,Aluminum,0,1,0
data_3_20.jpg,0.0005,60154,-1383,Aluminum,0,1,0
data_4_1.jpg,-0.0003,59883,-1742,Aluminum,0,1,0
data_4_2.jpg,-0.0009,61566,-59,Aluminum,0,1,0
data_4_3.jpg,0.0004,61228,-397,Aluminum,0,1,0
data_4_4.jpg,0.0003,60914,-711,Aluminum,0,1,0
data_4_5.jpg,0.0009,59925,-1700,Aluminum,0,1,0
data_4_6.jpg,-0.0016,59271,-2354,Aluminum,0,1,0
data_4_7.jpg,-0.0002,61076,-549,Aluminum,0,1,0
data_4_8.jpg,0.0003,59253,-2372,Aluminum,0,1,0
data_4_9.jpg,0.0005,59316,-2309,Aluminum,0,1,0
data_4_10.jpg,-0.0001,59734,-1891,Aluminum,0,1,0
data_4_11.jpg,0.0006,61222,-403,Aluminum,0,1,0
data_4_12.jpg,-0.0001,61307,-318,Aluminum,0,1,0
data_4_13.jpg,0.0006,60248,-1377,Aluminum,0,1,0
data_4_14.jpg,0.0004,60250,-1375,Aluminum,0,1,0
data_4_15.jpg,0.0002,60780,-845,Aluminum,0,1,0
data_4_16.jpg,0.0006,61569,-56,Aluminum,0,1,0
data_4_17.jpg,0.0003,61157,-468,Aluminum,0,1,0
data_4_18.jpg,0.0007,61480,-145,Aluminum,0,1,0
data_4_19.jpg,0.0012,61224,-401,Aluminum,0,1,0
data_4_20.jpg,0.0004,61512,-113,Aluminum,0,1,0
data_5_1.jpg,0.0007,60514,-1014,Aluminum,0,1,0
data_5_2.jpg,-0.0001,60865,-663,Aluminum,0,1,0
data_5_3.jpg,-0.0003,60755,-773,Aluminum,0,1,0
data_5_4.jpg,-0.0005,58691,-2837,Aluminum,0,1,0
data_5_5.jpg,0.0003,60119,-1409,Aluminum,0,1,0
data_5_6.jpg,-0.0011,60347,-1181,Aluminum,0,1,0
data_5_7.jpg,0.0004,59721,-1807,Aluminum,0,1,0
data_5_8.jpg,0.0006,60090,-1438,Aluminum,0,1,0
data_5_9.jpg,0.0006,60146,-1382,Aluminum,0,1,0
data_5_10.jpg,0.0008,59835,-1693,Aluminum,0,1,0
data_5_11.jpg,-0.0003,60639,-889,Aluminum,0,1,0
data_5_12.jpg,0.0002,61321,-207,Aluminum,0,1,0
data_5_13.jpg,-0.0005,61302,-226,Aluminum,0,1,0
data_5_14.jpg,-0.0003,61532,4,Aluminum,0,1,0
data_5_15.jpg,-0.0003,61032,-496,Aluminum,0,1,0
data_5_16.jpg,-0.0005,61436,-92,Aluminum,0,1,0
data_5_17.jpg,0.0002,61145,-383,Aluminum,0,1,0
